state,abbrev,stations,weight,rationing,q_rel,q_obs,p0_lo,p0_mid,p0_hi
Arizona,AZ,2064.0,0.01149009369102559,0.4953271028037383,0.8595829568865848,0.009876688709835671,1.3510426077835378,1.5265639116753067,1.7020852155670756
Arkansas,AR,2063.0,0.011484526785167535,0.08695652173913043,1.0248160400112627,0.01176952726137867,0.8759197999436867,0.906939849957765,0.9379598999718434
California,CA,17534.0,0.09761012731513698,0.3636363636363636,0.9128670764107347,0.08910507155024869,1.2178323089731633,1.326748463459745,1.4356646179463266
Colorado,CO,2604.0,0.01449622285437531,0.14285714285714285,1.002197780018503,0.014528082363308421,0.9890110999074855,0.9917583249306141,0.9945055499537427
Connecticut,CT,2421.0,0.01347747908235124,0.9204545454545454,0.687569787164672,0.00926670742416856,1.78107553208832,2.1716132981324803,2.56215106417664
Delaware,DE,472.0,0.0026275795650019763,0.6595744680851063,0.7931259205109602,0.002084001461207981,1.5171851987225993,1.775777798083899,2.0343703974451985
Florida,FL,7444.0,0.04144004720736168,0.46666666666666673,0.8711794147271094,0.03610171607237313,1.3220514631822267,1.4830771947733399,1.6441029263644533
Georgia,GA,5046.0,0.028090606959745704,0.20833333333333337,0.9757050958603166,0.027408148356433158,1.0607372603492087,1.091105890523813,1.1214745206984171
Hawaii,HI,427.0,0.0023770688013895,0.0,1.06,0.00251969292947287,0.7000000000000002,0.7750000000000001,0.8500000000000001
Idaho,ID,936.0,0.005210623883139512,0.0,1.06,0.005523261316127883,0.6999999999999997,0.7749999999999998,0.8499999999999999
Illinois,IL,8689.0,0.04837084500064019,0.4936708860759494,0.8602530879120417,0.04161116877671547,1.3493672802198957,1.5240509203298438,1.6987345604397917
Indiana,IN,5145.0,0.028641730639693153,0.03361344537815126,1.0463994776514125,0.029970691980407374,0.7680026117429373,0.826001958807203,0.8840013058714686
Iowa,IA,3626.0,0.020185600641307554,0.0816326530612245,1.0269701600105732,0.020730009520513147,0.8651491999471341,0.8988618999603506,0.9325745999735671
Kansas,KS,2851.0,0.0158712486013149,0.30434782608695654,0.9368561400394192,0.01486907670223391,1.157859649901452,1.236789474852178,1.315719299802904
