state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Arizona,AZ,1.6565588694533324,1.3282794347266662,0.7000000000000002,2.6311660194623876,0.8500000000000001,1.8155830097311938,0.5046728971962617,0.4953271028037383,0.4953271028037383
Arkansas,AR,0.8679274799532505,0.9339637399766253,0.6999999999999993,2.6311660194623876,0.8499999999999996,1.8155830097311938,0.9130434782608696,0.08695652173913043,0.08695652173913043
California,CA,1.4022421888954133,1.2011210944477066,0.6999999999999996,2.6311660194623876,0.8499999999999999,1.8155830097311938,0.6363636363636365,0.3636363636363636,0.3636363636363636
Colorado,CO,0.9758808599231978,0.987940429961599,0.6999999999999995,2.6311660194623876,0.8499999999999998,1.8155830097311938,0.8571428571428572,0.14285714285714285,0.14285714285714285
Connecticut,CT,2.477550540641516,1.738775270320758,0.6999999999999997,2.6311660194623876,0.8499999999999999,1.8155830097311938,0.07954545454545459,0.9204545454545454,0.9204545454545454
Delaware,DE,1.9737478000709363,1.486873900035468,0.6999999999999995,2.6311660194623876,0.8499999999999998,1.8155830097311938,0.34042553191489366,0.6595744680851063,0.6595744680851063
Florida,FL,1.6012108090824477,1.3006054045412236,0.6999999999999995,2.631166019462388,0.8499999999999998,1.815583009731194,0.5333333333333332,0.46666666666666673,0.46666666666666673
Georgia,GA,1.1023262540546641,1.051163127027332,0.7,2.6311660194623876,0.85,1.8155830097311938,0.7916666666666666,0.20833333333333337,0.20833333333333337
Hawaii,HI,0.6999999999999997,0.8499999999999999,0.6999999999999997,,0.8499999999999999,,1.0,0.0,0.0
Idaho,ID,0.6999999999999995,0.8499999999999998,0.6999999999999995,,0.8499999999999998,,1.0,0.0,0.0
Illinois,IL,1.6533604399877606,1.3266802199938805,0.6999999999999994,2.6311660194623876,0.8499999999999996,1.8155830097311938,0.5063291139240507,0.4936708860759494,0.4936708860759494
Indiana,IN,0.7649131435113404,0.8824565717556703,0.6999999999999997,2.6311660194623876,0.8499999999999999,1.8155830097311938,0.9663865546218487,0.03361344537815126,0.03361344537815126
