state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Arizona,AZ,1.6477911425725835,1.3238955712862917,0.6999999999999994,2.61346513689182,0.8499999999999996,1.80673256844591,0.5046728971962617,0.4953271028037383,0.4953271028037383
Arkansas,AR,0.8663882727732017,0.933194136386601,0.7000000000000001,2.6134651368918194,0.8500000000000001,1.8067325684459097,0.9130434782608696,0.08695652173913043,0.08695652173913043
California,CA,1.395805504324298,1.197902752162149,0.7,2.61346513689182,0.85,1.80673256844591,0.6363636363636365,0.3636363636363636,0.3636363636363636
Colorado,CO,0.973352162413117,0.9866760812065586,0.7,2.6134651368918194,0.85,1.8067325684459097,0.8571428571428572,0.14285714285714285,0.14285714285714285
Connecticut,CT,2.461257682820879,1.7306288414104396,0.6999999999999996,2.6134651368918194,0.8499999999999999,1.8067325684459097,0.07954545454545459,0.9204545454545454,0.9204545454545454
Delaware,DE,1.962072749864817,1.4810363749324087,0.7000000000000002,2.6134651368918194,0.8500000000000001,1.8067325684459097,0.34042553191489366,0.6595744680851063,0.6595744680851063
Florida,FL,1.5929503972161823,1.2964751986080911,0.6999999999999997,2.6134651368918194,0.8499999999999999,1.8067325684459097,0.5333333333333332,0.46666666666666673,0.46666666666666673
Georgia,GA,1.098638570185796,1.049319285092898,0.7000000000000001,2.61346513689182,0.8500000000000001,1.80673256844591,0.7916666666666666,0.20833333333333337,0.20833333333333337
Hawaii,HI,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
Idaho,ID,0.6999999999999996,0.8499999999999999,0.6999999999999996,,0.8499999999999999,,1.0,0.0,0.0
Illinois,IL,1.6446220296048222,1.322311014802411,0.7,2.6134651368918194,0.85,1.8067325684459097,0.5063291139240507,0.4936708860759494,0.4936708860759494
Indiana,IN,0.7643181558619101,0.882159077930955,0.7000000000000002,2.61346513689182,0.8500000000000001,1.80673256844591,0.9663865546218487,0.03361344537815126,0.03361344537815126
Iowa,IA,0.856201235664638,0.9281006178323191,0.6999999999999997,2.61346513689182,0.8499999999999999,1.80673256844591,0.9183673469387755,0.0816326530612245,0.0816326530612245
Kansas,KS,1.282358954706206,1.141179477353103,0.7000000000000002,2.6134651368918194,0.8500000000000001,1.8067325684459097,0.6956521739130435,0.30434782608695654,0.30434782608695654
Kentucky,KY,1.544906683822362,1.272453341911181,0.7000000000000002,2.6134651368918194,0.8500000000000001,1.8067325684459097,0.5584415584415584,0.4415584415584416,0.4415584415584416
Louisiana,LA,1.0479027521621487,1.0239513760810743,0.6999999999999995,2.6134651368918194,0.8499999999999998,1.8067325684459097,0.8181818181818181,0.18181818181818182,0.18181818181818182
