state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Arizona,AZ,1.644206412468106,1.3221032062340532,0.6999999999999997,2.6062280402657994,0.8499999999999999,1.8031140201328997,0.5046728971962617,0.4953271028037383,0.4953271028037383
Arkansas,AR,0.865758960023113,0.9328794800115566,0.7000000000000001,2.606228040265799,0.8500000000000001,1.8031140201328995,0.9130434782608696,0.08695652173913043,0.08695652173913043
California,CA,1.393173832823927,1.1965869164119636,0.6999999999999997,2.6062280402657994,0.8499999999999999,1.8031140201328997,0.6363636363636365,0.3636363636363636,0.3636363636363636
Colorado,CO,0.9723182914665423,0.9861591457332712,0.6999999999999995,2.606228040265799,0.8499999999999998,1.8031140201328995,0.8571428571428572,0.14285714285714285,0.14285714285714285
Connecticut,CT,2.454596264335565,1.7272981321677825,0.7000000000000001,2.6062280402657994,0.8500000000000001,1.8031140201328997,0.07954545454545459,0.9204545454545454,0.9204545454545454
Delaware,DE,1.957299345707229,1.4786496728536145,0.6999999999999993,2.6062280402657994,0.8499999999999996,1.8031140201328997,0.34042553191489366,0.6595744680851063,0.6595744680851063
Florida,FL,1.5895730854573726,1.2947865427286862,0.6999999999999993,2.6062280402657994,0.8499999999999996,1.8031140201328997,0.5333333333333332,0.46666666666666673,0.46666666666666673
Georgia,GA,1.0971308417220418,1.048565420861021,0.7000000000000001,2.6062280402657994,0.8500000000000001,1.8031140201328997,0.7916666666666666,0.20833333333333337,0.20833333333333337
Hawaii,HI,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
Idaho,ID,0.7,0.85,0.7,,0.85,,1.0,0.0,0.0
Illinois,IL,1.6410492857008374,1.3205246428504187,0.7,2.6062280402657985,0.85,1.8031140201328992,0.5063291139240507,0.4936708860759494,0.4936708860759494
Indiana,IN,0.7640748921097744,0.8820374460548872,0.6999999999999997,2.606228040265799,0.8499999999999999,1.8031140201328995,0.9663865546218487,0.03361344537815126,0.03361344537815126
