state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Arizona,AZ,1.6655356529899472,1.3327678264949736,0.6999999999999998,2.649288959809893,0.8499999999999999,1.8246444799049466,0.5046728971962617,0.4953271028037383,0.4953271028037383
Arkansas,AR,0.8695033878095556,0.9347516939047777,0.6999999999999995,2.649288959809893,0.8499999999999998,1.8246444799049466,0.9130434782608696,0.08695652173913043,0.08695652173913043
California,CA,1.4088323490217793,1.2044161745108897,0.7,2.649288959809893,0.85,1.8246444799049466,0.6363636363636365,0.3636363636363636,0.3636363636363636
Colorado,CO,0.978469851401413,0.9892349257007065,0.6999999999999995,2.649288959809893,0.8499999999999998,1.8246444799049466,0.8571428571428572,0.14285714285714285,0.14285714285714285
Connecticut,CT,2.4942318834613793,1.7471159417306896,0.7,2.6492889598098937,0.85,1.8246444799049468,0.07954545454545459,0.9204545454545454,0.9204545454545454
Delaware,DE,1.9857012288107811,1.4928506144053906,0.7,2.649288959809894,0.85,1.824644479904947,0.34042553191489366,0.6595744680851063,0.6595744680851063
Florida,FL,1.609668181244617,1.3048340906223084,0.6999999999999996,2.6492889598098937,0.8499999999999999,1.8246444799049468,0.5333333333333332,0.46666666666666673,0.46666666666666673
Georgia,GA,1.1061018666270614,1.0530509333135307,0.7000000000000002,2.649288959809894,0.8500000000000001,1.824644479904947,0.7916666666666666,0.20833333333333337,0.20833333333333337
Hawaii,HI,0.6999999999999997,0.8499999999999999,0.6999999999999997,,0.8499999999999999,,1.0,0.0,0.0
Idaho,ID,0.7000000000000002,0.8500000000000001,0.7000000000000002,,0.8500000000000001,,1.0,0.0,0.0
Illinois,IL,1.6623072080074155,1.3311536040037077,0.6999999999999995,2.649288959809893,0.8499999999999998,1.8246444799049466,0.5063291139240507,0.4936708860759494,0.4936708860759494
Indiana,IN,0.7655223179768027,0.8827611589884015,0.6999999999999996,2.649288959809893,0.8499999999999999,1.8246444799049466,0.9663865546218487,0.03361344537815126,0.03361344537815126
Iowa,IA,0.8591256293722362,0.9295628146861181,0.7,2.649288959809894,0.85,1.824644479904947,0.9183673469387755,0.0816326530612245,0.0816326530612245
Kansas,KS,1.2932618573334458,1.146630928666723,0.7000000000000001,2.649288959809893,0.8500000000000001,1.8246444799049466,0.6956521739130435,0.30434782608695654,0.30434782608695654
Kentucky,KY,1.560724995240732,1.280362497620366,0.6999999999999997,2.6492889598098937,0.8499999999999999,1.8246444799049468,0.5584415584415584,0.4415584415584416,0.4415584415584416
Louisiana,LA,1.0544161745108893,1.0272080872554445,0.6999999999999994,2.6492889598098937,0.8499999999999996,1.8246444799049468,0.8181818181818181,0.18181818181818182,0.18181818181818182
Maine,ME,2.031221728650659,1.5156108643253294,0.7000000000000002,2.649288959809893,0.8500000000000001,1.8246444799049466,0.31707317073170727,0.6829268292682927,0.6829268292682927
Maryland,MD,1.837085226555771,1.4185426132778853,0.6999999999999997,2.649288959809893,0.8499999999999999,1.8246444799049466,0.41666666666666663,0.5833333333333334,0.5833333333333334
Massachusetts,MA,2.4868482131590692,1.7434241065795346,0.7,2.6492889598098937,0.85,1.8246444799049468,0.08333333333333348,0.9166666666666665,0.9166666666666665
Michigan,MI,1.0875779218335455,1.0437889609167728,0.6999999999999994,2.649288959809894,0.8499999999999996,1.824644479904947,0.8011695906432749,0.1988304093567251,0.1988304093567251
Minnesota,MN,0.9165876622010987,0.9582938311005492,0.6999999999999994,2.649288959809893,0.8499999999999996,1.8246444799049466,0.8888888888888888,0.1111111111111111,0.1111111111111111
Mississippi,MS,1.034163821681696,1.0170819108408478,0.7,2.649288959809893,0.85,1.8246444799049466,0.8285714285714285,0.17142857142857143,0.17142857142857143
Missouri,MO,0.744302021813861,0.8721510109069305,0.6999999999999997,2.6492889598098937,0.8499999999999999,1.8246444799049468,0.9772727272727273,0.022727272727272728,0.022727272727272728
Montana,MT,0.6999999999999997,0.8499999999999999,0.6999999999999997,,0.8499999999999999,,1.0,0.0,0.0
Nebraska,NE,0.8169573375885932,0.9084786687942966,0.6999999999999997,2.649288959809893,0.8499999999999999,1.8246444799049466,0.94,0.06,0.06
Nevada,NV,0.7974644479904942,0.8987322239952471,0.6999999999999995,2.649288959809893,0.8499999999999998,1.8246444799049466,0.95,0.05,0.05
New Hampshire,NH,2.2255304902860042,1.6127652451430021,0.7000000000000002,2.649288959809894,0.8500000000000001,1.824644479904947,0.21739130434782594,0.7826086956521741,0.7826086956521741
New Jersey,NJ,2.3374027262403105,1.6687013631201553,0.6999999999999997,2.6492889598098937,0.8499999999999999,1.8246444799049468,0.16000000000000003,0.84,0.84
New Mexico,NM,0.992393343971484,0.996196671985742,0.7000000000000002,2.649288959809893,0.8500000000000001,1.8246444799049466,0.85,0.15,0.15
New York,NY,2.031812332789368,1.515906166394684,0.6999999999999995,2.649288959809893,0.8499999999999998,1.8246444799049466,0.31677018633540366,0.6832298136645963,0.6832298136645963
North Carolina,NC,2.081890295452084,1.540945147726042,0.7000000000000001,2.649288959809893,0.8500000000000001,1.8246444799049466,0.29107981220657275,0.7089201877934272,0.7089201877934272
North Dakota,ND,0.7322196522282624,0.8661098261141313,0.6999999999999996,2.649288959809893,0.8499999999999999,1.8246444799049466,0.9834710743801653,0.01652892561983471,0.01652892561983471
Ohio,OH,1.1303624976203657,1.0651812488101828,0.6999999999999995,2.6492889598098937,0.8499999999999998,1.8246444799049468,0.7792207792207793,0.22077922077922074,0.22077922077922074
Oklahoma,OK,1.3215124219683716,1.1607562109841858,0.6999999999999995,2.649288959809894,0.8499999999999998,1.824644479904947,0.681159420289855,0.31884057971014496,0.31884057971014496
Oregon,OR,1.4692261366065948,1.2346130683032972,0.6999999999999998,2.6492889598098937,0.8499999999999999,1.8246444799049468,0.6053811659192825,0.3946188340807175,0.3946188340807175
Pennsylvania,PA,1.7432814151095206,1.3716407075547603,0.7,2.6492889598098937,0.85,1.8246444799049468,0.46478873239436613,0.5352112676056339,0.5352112676056339
Rhode Island,RI,2.438555018208824,1.7192775091044117,0.7,2.649288959809893,0.85,1.8246444799049466,0.10810810810810811,0.8918918918918919,0.8918918918918919
South Carolina,SC,1.601546143912076,1.300773071956038,0.7,2.649288959809894,0.85,1.824644479904947,0.5375,0.4625,0.4625
South Dakota,SD,0.8740436571258831,0.9370218285629416,0.6999999999999997,2.649288959809893,0.8499999999999999,1.8246444799049466,0.9107142857142857,0.08928571428571427,0.08928571428571427
Tennessee,TN,1.4181590904562764,1.2090795452281382,0.7000000000000002,2.649288959809893,0.8500000000000001,1.8246444799049466,0.631578947368421,0.3684210526315789,0.3684210526315789
Texas,TX,1.2152579097586662,1.107628954879333,0.7000000000000002,2.6492889598098937,0.8500000000000001,1.8246444799049468,0.7356687898089171,0.2643312101910828,0.2643312101910828
Utah,UT,0.7000000000000001,0.8500000000000001,0.7000000000000001,,0.8500000000000001,,1.0,0.0,0.0
Vermont,VT,2.380421517077495,1.6902107585387474,0.7000000000000001,2.649288959809894,0.8500000000000001,1.824644479904947,0.13793103448275867,0.8620689655172413,0.8620689655172413
Virginia,VA,1.5553002578757698,1.2776501289378848,0.7000000000000002,2.6492889598098937,0.8500000000000001,1.8246444799049468,0.5612244897959184,0.4387755102040816,0.4387755102040816
Washington,WA,1.5354095542042399,1.26770477710212,0.6999999999999997,2.6492889598098937,0.8499999999999999,1.8246444799049468,0.5714285714285714,0.42857142857142855,0.42857142857142855
West Virginia,WV,1.581185420188034,1.290592710094017,0.6999999999999997,2.649288959809894,0.8499999999999999,1.824644479904947,0.5479452054794521,0.45205479452054786,0.45205479452054786
Wisconsin,WI,1.2458009087467703,1.1229004543733851,0.7000000000000002,2.649288959809893,0.8500000000000001,1.8246444799049466,0.72,0.28,0.28
Wyoming,WY,0.6999999999999997,0.8499999999999999,0.6999999999999997,,0.8499999999999999,,1.0,0.0,0.0
