state,abbrev,p0_upper_avg,p0_lower_avg,p0_upper_open,p0_upper_nonopen,p0_lower_open,p0_lower_nonopen,share_open,share_nonopen,rationing
Arizona,AZ,1.65098010612414,1.3254900530620701,0.7,2.619903233118547,0.85,1.8099516165592735,0.5046728971962617,0.4953271028037383,0.4953271028037383
Arkansas,AR,0.8669481072276994,0.9334740536138498,0.6999999999999997,2.6199032331185466,0.8499999999999999,1.8099516165592733,0.9130434782608696,0.08695652173913043,0.08695652173913043
California,CA,1.3981466302249257,1.1990733151124628,0.6999999999999995,2.619903233118547,0.8499999999999998,1.8099516165592735,0.6363636363636365,0.3636363636363636,0.3636363636363636
Colorado,CO,0.9742718904455065,0.9871359452227533,0.6999999999999998,2.6199032331185466,0.8499999999999999,1.8099516165592733,0.8571428571428572,0.14285714285714285,0.14285714285714285
Connecticut,CT,2.467183657756844,1.733591828878422,0.6999999999999998,2.6199032331185466,0.8499999999999999,1.8099516165592733,0.07954545454545459,0.9204545454545454,0.9204545454545454
Delaware,DE,1.9663191537590414,1.4831595768795207,0.7,2.619903233118547,0.85,1.8099516165592735,0.34042553191489366,0.6595744680851063,0.6595744680851063
Florida,FL,1.5959548421219882,1.297977421060994,0.6999999999999996,2.6199032331185466,0.8499999999999999,1.8099516165592733,0.5333333333333332,0.46666666666666673,0.46666666666666673
Georgia,GA,1.0999798402330307,1.0499899201165155,0.7000000000000002,2.6199032331185466,0.8500000000000001,1.8099516165592733,0.7916666666666666,0.20833333333333337,0.20833333333333337
Hawaii,HI,0.6999999999999995,0.8499999999999998,0.6999999999999995,,0.8499999999999998,,1.0,0.0,0.0
Idaho,ID,0.6999999999999992,0.8499999999999996,0.6999999999999992,,0.8499999999999996,,1.0,0.0,0.0
Illinois,IL,1.647800330273713,1.3239001651368565,0.6999999999999995,2.619903233118547,0.8499999999999998,1.8099516165592735,0.5063291139240507,0.4936708860759494,0.4936708860759494
Indiana,IN,0.7645345624577664,0.8822672812288832,0.7000000000000002,2.6199032331185466,0.8500000000000001,1.8099516165592733,0.9663865546218487,0.03361344537815126,0.03361344537815126
