case_id,assumptions,anchor_mode,choke_M,phi_lower_pct,phi_upper_pct,ratio_lower,ratio_upper,ratio_range,p_star_lower,p_star_upper
common_epsilon,"Common epsilon in [0.2, 0.4] (fixed anchors)",fixed,inf,4.429372572983955,8.85874514596791,4.374688960971788,4.374688960971788,4.37,1.2249999999999999,1.4500000000000002
slope_fixed_anchor,Slope bounds only (fixed midpoint anchor),fixed,inf,4.9830415940691015,9.966087013944984,2.460761281021768,4.921524451330835,"[2.46, 4.92]",1.3375000000000001,1.3375000000000001
plus_anchor_uncertainty,+ Anchor uncertainty (p0 intervals),interval,inf,2.2146832660746627,17.717489911636044,1.093670748678841,8.749377734141218,"[1.09, 8.75]",1.225,1.45
plus_choke,+ Choke constraint (M=4),interval,4.0,2.2146832660746627,12.399992545228814,1.093670748678841,6.123453108754944,"[1.09, 6.12]",1.225,1.3275000000000001
